City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,ribeira grande,38.5167,-28.7,288.37,72,20,2.57,PT,1702323702
131,severo-yeniseyskiy,60.3725,93.0408,232.91,100,84,0.45,RU,1702323920
132,castillos,-34.1667,-53.8333,294.89,68,50,5.5,UY,1702323921
133,turaif,31.6725,38.6637,288.29,67,75,8.23,SA,1702323921
134,casper,42.8666,-106.3131,279.71,42,40,7.2,US,1702323738
135,babayevo,59.3936,35.9371,265.72,94,100,4.6,RU,1702323921
136,tucuma,-0.1833,-50.05,302.3,68,100,4.23,BR,1702323859
137,mae hong son,19.3003,97.9685,295.26,90,15,0.25,TH,1702323921
138,sao gabriel da cachoeira,-0.1303,-67.0892,298.04,94,40,2.06,BR,1702323921
139,arsen'yev,44.1631,133.2733,257.66,73,100,2.13,RU,1702323922
140,yichang,30.7144,111.2847,279.25,75,96,0.99,CN,1702323922
141,creel,27.75,-107.6333,290.95,22,5,4.48,MX,1702323922
142,caluula,11.9661,50.7569,298.4,65,6,3.69,SO,1702323922
143,rabigh,22.7986,39.0349,300.82,71,100,3.53,SA,1702323922
144,kodiak,57.79,-152.4072,271.88,64,0,1.54,US,1702323923
145,viedma,-40.8135,-62.9967,304.78,29,100,9.98,AR,1702323667
146,inhambane,-23.865,35.3833,298.99,91,100,2.89,MZ,1702323859
147,timmins,48.4669,-81.3331,264.05,73,75,3.09,CA,1702323923
148,barah,13.7,30.3667,297.15,11,33,4.74,SD,1702323923
149,fonte boa,-2.4959,-66.2662,303.08,69,100,0.61,BR,1702323923
150,haiku-pauwela,20.9219,-156.3051,299.91,74,20,1.54,US,1702323923
151,taoudenni,22.6783,-3.9836,294.85,16,28,5.14,ML,1702323924
152,sao joao da barra,-21.6403,-41.0511,299.2,88,100,4.21,BR,1702323694
153,kayangel,8.0823,134.7173,301.53,76,46,6.43,PW,1702323924
154,minas de marcona,-15.2119,-75.1103,293.92,62,8,6.55,PE,1702323735
155,bamboo flat,11.7,92.7167,301.2,78,40,1.03,IN,1702323718
156,sabang,5.8933,95.3214,300.15,78,79,0.64,ID,1702323924
157,olonkinbyen,70.9221,-8.7187,273.1,98,100,7.4,SJ,1702323717
158,pathein,16.7833,94.7333,295.89,88,6,2.49,MM,1702323925
159,egersund,58.4513,5.9997,275.58,69,99,2.64,NO,1702323925
160,hasaki,35.7333,140.8333,284.42,92,100,3.69,JP,1702323714
161,dudinka,69.4058,86.1778,248.53,98,100,6.26,RU,1702323925
162,ascension,30.2169,-90.9001,289.32,33,0,0.0,US,1702323926
163,ancud,-41.8697,-73.8203,285.88,93,99,4.86,CL,1702323926
164,princeville,45.7668,-61.2985,288.96,90,100,10.29,CA,1702323926
165,atafu village,-8.5421,-172.5159,301.58,80,100,10.87,TK,1702323926
166,tual,-5.6667,132.75,302.1,76,100,5.86,ID,1702323926
167,tazovsky,67.4667,78.7,248.11,95,100,4.22,RU,1702323927
168,hamilton,39.1834,-84.5333,278.79,65,0,4.12,US,1702323655
169,uturoa,-16.7333,-151.4333,300.04,76,73,9.07,PF,1702323927
170,phan rang-thap cham,11.5667,108.9833,294.78,91,94,2.83,VN,1702323927
171,praia,14.9215,-23.5087,299.45,61,6,6.69,CV,1702323824
172,lihue,21.9789,-159.3672,298.92,84,75,3.09,US,1702323669
173,puerto baquerizo moreno,-0.9,-89.6,301.7,65,75,4.63,EC,1702323737
174,isafjordur,66.0755,-23.124,268.27,86,94,0.76,IS,1702323678
175,ormara,25.2088,64.6357,297.39,27,99,3.61,PK,1702323928
176,altay,47.8667,88.1167,264.64,96,100,1.36,CN,1702323708
177,izazi,-7.2,35.7333,297.45,73,100,1.3,TZ,1702323929
178,susanville,40.4163,-120.653,283.04,60,0,1.54,US,1702323929
179,acarau,-2.8856,-40.12,301.87,66,44,8.06,BR,1702323803
180,brisas de zicatela,15.8369,-97.0419,302.44,61,75,3.09,MX,1702323929
181,alice springs,-23.7,133.8833,283.9,76,0,2.06,AU,1702323930
182,fisterra,42.9049,-9.2629,290.79,95,100,11.73,ES,1702323930
183,qui nhon,13.7667,109.2333,295.58,90,25,2.7,VN,1702323930
184,tiksi,71.6872,128.8694,250.74,100,100,4.16,RU,1702323930
185,keflavik,64.0049,-22.5624,274.39,75,40,3.6,IS,1702323930
186,mediesu aurit,47.7833,23.15,277.47,84,68,3.5,RO,1702323931
187,el malah,35.3914,-1.0924,288.19,42,97,0.5,DZ,1702323931
188,petropavlovsk-kamchatsky,53.0452,158.6483,267.48,87,40,7.6,RU,1702323931
189,junin de los andes,-39.9504,-71.0694,286.9,50,34,7.25,AR,1702323931
190,bengkulu,-3.8004,102.2655,296.82,94,99,1.48,ID,1702323931
191,remire-montjoly,4.9167,-52.2667,304.17,66,0,6.17,GF,1702323932
192,bartlesville,36.7473,-95.9808,286.49,33,0,2.57,US,1702323932
193,martapura,-3.4167,114.85,300.2,94,75,1.03,ID,1702323932
194,swakopmund,-22.6833,14.5333,289.81,83,0,0.45,NA,1702323932
195,kuraymah,18.55,31.85,296.47,21,100,4.47,SD,1702323932
196,valparaiso,-33.0393,-71.6273,295.28,61,0,6.69,CL,1702323736
197,nar'yan-mar,67.6713,53.087,258.21,92,100,8.94,RU,1702323933
198,la passe,45.5549,-0.8967,287.28,94,100,6.13,FR,1702323933
199,nouadhibou,20.931,-17.0347,296.14,33,5,4.12,MR,1702323933
200,port mathurin,-19.6833,63.4167,299.29,75,100,3.32,MU,1702323933
201,west island,-12.1568,96.8225,298.14,83,87,2.57,CC,1702323933
202,boende,-0.2167,20.8667,295.64,97,100,1.02,CD,1702323933
203,mount pearl,47.5166,-52.7813,284.44,96,100,8.75,CA,1702323934
204,ghadamis,30.1337,9.5007,287.12,41,0,2.61,LY,1702323934
205,el calafate,-50.3408,-72.2768,285.22,48,100,5.34,AR,1702323934
206,khromtau,50.2503,58.4347,245.44,87,6,7.3,KZ,1702323934
207,guajara mirim,-10.7828,-65.3394,304.24,70,75,3.6,BR,1702323934
208,nueva gerona,21.8833,-82.8,298.85,73,99,8.1,CU,1702323934
209,sant lluis,39.8526,4.2594,285.37,94,0,2.06,ES,1702323935
210,daru,-9.0763,143.2092,297.64,92,57,3.34,PG,1702323935
